sentiment,text
negative,isPlayer Has Died! Sorry 
negative,well it's time for me to go to skewl 
negative,@toonstopia wonder why you ain't be able to start  did you get my 2nd invite?
negative,@mingmingming uuugh fb is taking too long to load this is quicker. BENFOLDSWHYAREYOUSOEXPENSIVE 
negative,does not feel like working today 
negative,open issues in the design are getting wider 
negative,"ow ow ow...  my stupid nose bleed from the other day has made my head all congested, my head hurts so much... "
negative,The next red crayola crayon could be named after me. Painful sunburn 
negative,gnaaa sit in the sun on a blown up bed and gonna read &quot;as i lay me down to sleep&quot; - my mums friends book. she was abused when younger 
negative,"enjoying iced coffee, but not enjoying studying for accounting so early "
negative,YES!!! has just seen the new moon trailer.. LOVE IT!! can hardly wait. but it comes first to Denmark in February!! 
negative,&quot;The Coefficient of Determination&quot; Off istatistik seni sevmiyorum. 
negative,"Up pretty early , gonna try to sleep but chances r that won't happen "
negative,im only going to whine one time: ive worked for like 2 weeks straight with only like 3 days off. my feet hurt 
negative,Vacation is over. 
negative,"ughh, my stomach hurts "
negative,"@maxyRO uhm.... I use orbit(chewing gum), but it becomes addictive  Still, it is a way to get the yawning away(or else others will yawn 2)"
negative,Not feeling well today at all 
negative,"@kymstar  conGratulations! miss u  I just caame fr a graduation in philly,PA"
negative,"@matineeidyll Honey, im a big poof (lol), i dont like it either, but it's true...  U and i can be #novo-non-rednecks together lmao"
negative,@BrianMcnugget me thinks someone sacked me from Team Mcnugget...I'm a little gutted 
negative,"downloads some new mixes from different french djs . too much sun, i'll look like a lobster on this evening  ."
negative,-- Kill me.I want to die. Put a bullet in my heeeeaaaad.  Ten points if you can name the movie...  .... i miss my cell. 
negative,tanning! &lt;3 while doing her science homework 
negative,"Good morning everybody! Unforyunately, I had to take down my picture recently because I have been working some undercover assignments "
negative,is Nervous! 
negative,Bye bye lauren..    ..but Omg grr the bitch is back! Oh snap! =O
negative,..are the days that will be discounted of our vacation! 
negative,is at work 
negative,"to the happy web-dev types down leith posting pics of the sun and sea, spare a thought for us poor saps enjoying lunch in 30 deg offices "
negative,Interesting morning my mother just said I have no shame or moral compass  Thanks mom
negative,just got back from a great weekend in oxford....experiencing serious miami withdrawals. ugh. 
negative,"@timlandslide I miss South Wales more in the summer, for exactly that reason "
negative,fuckkk its cold  stupid non warm house
negative,@dwsmillionthhug oh no  that's horrible 
negative,"Such a busy day, so exhausted. My arms are painful, but i have no idea "
negative,God I don't wanna work today 
negative,@twinklestah ya D: just not at the right time. 
negative,it was a not so beautiful day for me... 
negative,"@indeedio @irnbruise I feel like I knew that once upon a time, but I was totally shocked last night. "
negative,40 more pages to read before bed..  again I ask why!?!
negative,I want to write so badly!!! Where is my life going? Wait I dont have one 
negative,I love getting up at 5 to take a bus to work...I really hope my car is done soon...   
